"category_id","asin","Predicted","category_name"
167,"B0C67WPQ7L",1,"Household Cleaning Supplies"
167,"B09FPG7WXW",1,"Household Cleaning Supplies"
167,"B015SEYYT0",1,"Household Cleaning Supplies"
167,"B079HLKVJR",1,"Household Cleaning Supplies"
167,"B07L52GJQ2",1,"Household Cleaning Supplies"
167,"B09DQC6Y1X",1,"Household Cleaning Supplies"
167,"B000MUSOW4",1,"Household Cleaning Supplies"
167,"B08T6C84CZ",1,"Household Cleaning Supplies"
167,"B07MTRZN38",1,"Household Cleaning Supplies"
167,"B0C8SCSYK7",1,"Household Cleaning Supplies"
167,"B00U2QERW4",1,"Household Cleaning Supplies"
167,"B0921TVJ1T",1,"Household Cleaning Supplies"
167,"B00KAJ42GO",1,"Household Cleaning Supplies"
167,"B00F9KMJT6",1,"Household Cleaning Supplies"
167,"B08BX8JYB2",1,"Household Cleaning Supplies"
167,"B09NW7WVFR",1,"Household Cleaning Supplies"
167,"B07P15WXVP",1,"Household Cleaning Supplies"
167,"B07G33RJBT",1,"Household Cleaning Supplies"
167,"B0B9W97NKC",1,"Household Cleaning Supplies"
167,"B089NKXTWJ",1,"Household Cleaning Supplies"
167,"B0C4X9WTHQ",1,"Household Cleaning Supplies"
167,"B099ZMJJJS",1,"Household Cleaning Supplies"
167,"B07BF51L9T",1,"Household Cleaning Supplies"
167,"B086RRLN9Q",1,"Household Cleaning Supplies"
167,"B000VXAGWI",1,"Household Cleaning Supplies"
167,"B08JZFFQTD",1,"Household Cleaning Supplies"
167,"B07B8SM6P6",1,"Household Cleaning Supplies"
167,"B0C2TW9RHY",1,"Household Cleaning Supplies"
168,"B07TYWCFRK",1,"Seasonal Décor"
170,"B0C9DS5NPZ",1,"Kitchen & Dining"
170,"B08JCRLMTG",1,"Kitchen & Dining"
170,"B006AEVRB6",1,"Kitchen & Dining"
170,"B09BJ5VGM4",1,"Kitchen & Dining"
170,"B0B5XP1WSJ",1,"Kitchen & Dining"
170,"B0B6WP4XNY",1,"Kitchen & Dining"
170,"B07FYK4622",1,"Kitchen & Dining"
170,"B087RQCQQZ",1,"Kitchen & Dining"
170,"B01N7VG6TS",1,"Kitchen & Dining"
170,"B07M67X3GN",1,"Kitchen & Dining"
170,"B01N2YMMIG",1,"Kitchen & Dining"
170,"B08RWPPD8J",1,"Kitchen & Dining"
170,"B0161EG5IE",1,"Kitchen & Dining"
170,"B072N94M7L",1,"Kitchen & Dining"
170,"B00MS95U74",1,"Kitchen & Dining"
170,"B07XG1G8KP",1,"Kitchen & Dining"
170,"B01E2HU4A2",1,"Kitchen & Dining"
170,"B08D3YDKT5",1,"Kitchen & Dining"
170,"B089ZY5ZGP",1,"Kitchen & Dining"
170,"B078JSH1KB",1,"Kitchen & Dining"
170,"B09M6SF2Z6",1,"Kitchen & Dining"
170,"B01HN7ZGUQ",1,"Kitchen & Dining"
170,"B08P8V53H4",1,"Kitchen & Dining"
170,"B0B4JP63F5",1,"Kitchen & Dining"
170,"B07VL1668Q",1,"Kitchen & Dining"
170,"B01JTDG084",1,"Kitchen & Dining"
170,"B07QP13BJ9",1,"Kitchen & Dining"
170,"B00TQIUUWU",1,"Kitchen & Dining"
